행정구역,연도,월,연령대,인구수
경상남도,2008,3,70~79세,171763
제주특별자치도,2008,3,70~79세,28712
서울특별시,2008,3,80~89세,113276
부산광역시,2008,3,80~89세,43391
대구광역시,2008,3,80~89세,28286
인천광역시,2008,3,80~89세,29943
광주광역시,2008,3,80~89세,16398
대전광역시,2008,3,80~89세,16627
울산광역시,2008,3,80~89세,9324
경기도,2008,3,80~89세,122935
강원도,2008,3,80~89세,30636
충청북도,2008,3,80~89세,27320
충청남도,2008,3,80~89세,42599
전라북도,2008,3,80~89세,40835
전라남도,2008,3,80~89세,49637
경상북도,2008,3,80~89세,60312
경상남도,2008,3,80~89세,52153
제주특별자치도,2008,3,80~89세,9419
서울특별시,2008,3,90~99세,14042
부산광역시,2008,3,90~99세,4096
대구광역시,2008,3,90~99세,2957
인천광역시,2008,3,90~99세,3397
광주광역시,2008,3,90~99세,2058
대전광역시,2008,3,90~99세,1984
울산광역시,2008,3,90~99세,1029
경기도,2008,3,90~99세,14349
강원도,2008,3,90~99세,3936
충청북도,2008,3,90~99세,3340
충청남도,2008,3,90~99세,5157
전라북도,2008,3,90~99세,4800
전라남도,2008,3,90~99세,5906
경상북도,2008,3,90~99세,6982
경상남도,2008,3,90~99세,4850
제주특별자치도,2008,3,90~99세,1858
서울특별시,2008,3,100세 이상,402
부산광역시,2008,3,100세 이상,104
대구광역시,2008,3,100세 이상,77
인천광역시,2008,3,100세 이상,93
광주광역시,2008,3,100세 이상,56
대전광역시,2008,3,100세 이상,52
울산광역시,2008,3,100세 이상,16
경기도,2008,3,100세 이상,377
강원도,2008,3,100세 이상,114
충청북도,2008,3,100세 이상,79
충청남도,2008,3,100세 이상,147
전라북도,2008,3,100세 이상,182
전라남도,2008,3,100세 이상,212
경상북도,2008,3,100세 이상,150
경상남도,2008,3,100세 이상,120
제주특별자치도,2008,3,100세 이상,60
서울특별시,2008,4,0~9세,950418
부산광역시,2008,4,0~9세,304858
대구광역시,2008,4,0~9세,250255
인천광역시,2008,4,0~9세,288076
광주광역시,2008,4,0~9세,169766
대전광역시,2008,4,0~9세,168606
울산광역시,2008,4,0~9세,126125
경기도,2008,4,0~9세,1346978
강원도,2008,4,0~9세,152237
충청북도,2008,4,0~9세,161324
충청남도,2008,4,0~9세,215682
전라북도,2008,4,0~9세,192208
전라남도,2008,4,0~9세,191705
경상북도,2008,4,0~9세,261505
경상남도,2008,4,0~9세,352124
제주특별자치도,2008,4,0~9세,68251
