행정구역,연도,월,연령대,인구수
제주특별자치도,2018,08,60~69세,68309
서울특별시,2018,08,70~79세,653817
부산광역시,2018,08,70~79세,268907
대구광역시,2018,08,70~79세,162034
인천광역시,2018,08,70~79세,162301
광주광역시,2018,08,70~79세,85822
대전광역시,2018,08,70~79세,83633
울산광역시,2018,08,70~79세,52589
세종특별자치시,2018,08,70~79세,12316
경기도,2018,08,70~79세,700341
강원도,2018,08,70~79세,136275
충청북도,2018,08,70~79세,117696
충청남도,2018,08,70~79세,163430
전라북도,2018,08,70~79세,162371
전라남도,2018,08,70~79세,191975
경상북도,2018,08,70~79세,233345
경상남도,2018,08,70~79세,231099
제주특별자치도,2018,08,70~79세,43331
서울특별시,2018,08,80~89세,233623
부산광역시,2018,08,80~89세,96382
대구광역시,2018,08,80~89세,65639
인천광역시,2018,08,80~89세,66550
광주광역시,2018,08,80~89세,34323
대전광역시,2018,08,80~89세,35270
울산광역시,2018,08,80~89세,19265
세종특별자치시,2018,08,80~89세,6056
경기도,2018,08,80~89세,291991
강원도,2018,08,80~89세,60899
충청북도,2018,08,80~89세,57638
충청남도,2018,08,80~89세,89873
전라북도,2018,08,80~89세,82202
전라남도,2018,08,80~89세,97651
경상북도,2018,08,80~89세,118084
경상남도,2018,08,80~89세,109218
제주특별자치도,2018,08,80~89세,20946
서울특별시,2018,08,90~99세,35215
부산광역시,2018,08,90~99세,12310
대구광역시,2018,08,90~99세,7582
인천광역시,2018,08,90~99세,9857
광주광역시,2018,08,90~99세,4675
대전광역시,2018,08,90~99세,4867
울산광역시,2018,08,90~99세,2532
세종특별자치시,2018,08,90~99세,846
경기도,2018,08,90~99세,41121
강원도,2018,08,90~99세,9181
충청북도,2018,08,90~99세,7322
충청남도,2018,08,90~99세,11651
전라북도,2018,08,90~99세,11063
전라남도,2018,08,90~99세,12643
경상북도,2018,08,90~99세,15539
경상남도,2018,08,90~99세,13486
제주특별자치도,2018,08,90~99세,3273
서울특별시,2018,08,100세 이상,5743
부산광역시,2018,08,100세 이상,1648
대구광역시,2018,08,100세 이상,621
인천광역시,2018,08,100세 이상,823
광주광역시,2018,08,100세 이상,363
대전광역시,2018,08,100세 이상,314
울산광역시,2018,08,100세 이상,155
세종특별자치시,2018,08,100세 이상,53
경기도,2018,08,100세 이상,3521
강원도,2018,08,100세 이상,705
충청북도,2018,08,100세 이상,510
충청남도,2018,08,100세 이상,774
전라북도,2018,08,100세 이상,728
전라남도,2018,08,100세 이상,783
경상북도,2018,08,100세 이상,843
경상남도,2018,08,100세 이상,675
제주특별자치도,2018,08,100세 이상,246
서울특별시,2018,09,0~9세,698583
부산광역시,2018,09,0~9세,253434
대구광역시,2018,09,0~9세,196451
인천광역시,2018,09,0~9세,253352
광주광역시,2018,09,0~9세,132371
대전광역시,2018,09,0~9세,130026
울산광역시,2018,09,0~9세,109399
세종특별자치시,2018,09,0~9세,43849
경기도,2018,09,0~9세,1213683
강원도,2018,09,0~9세,113641
충청북도,2018,09,0~9세,134298
충청남도,2018,09,0~9세,190242
전라북도,2018,09,0~9세,145512
전라남도,2018,09,0~9세,146513
경상북도,2018,09,0~9세,209483
경상남도,2018,09,0~9세,299588
제주특별자치도,2018,09,0~9세,64163
서울특별시,2018,09,10~19세,865084
부산광역시,2018,09,10~19세,299055
대구광역시,2018,09,10~19세,252218
인천광역시,2018,09,10~19세,294342
광주광역시,2018,09,10~19세,173681
대전광역시,2018,09,10~19세,162127
울산광역시,2018,09,10~19세,122359
세종특별자치시,2018,09,10~19세,35885
경기도,2018,09,10~19세,1394334
강원도,2018,09,10~19세,151713
충청북도,2018,09,10~19세,161164
충청남도,2018,09,10~19세,214822
전라북도,2018,09,10~19세,192648
전라남도,2018,09,10~19세,185079
경상북도,2018,09,10~19세,246636
경상남도,2018,09,10~19세,347928
제주특별자치도,2018,09,10~19세,74001
서울특별시,2018,09,20~29세,1453898
부산광역시,2018,09,20~29세,447970
대구광역시,2018,09,20~29세,332789
인천광역시,2018,09,20~29세,410415
광주광역시,2018,09,20~29세,206109
대전광역시,2018,09,20~29세,214808
울산광역시,2018,09,20~29세,154617
세종특별자치시,2018,09,20~29세,33320
경기도,2018,09,20~29세,1744289
강원도,2018,09,20~29세,183038
충청북도,2018,09,20~29세,200282
충청남도,2018,09,20~29세,247892
전라북도,2018,09,20~29세,218181
전라남도,2018,09,20~29세,205500
경상북도,2018,09,20~29세,300732
경상남도,2018,09,20~29세,395482
제주특별자치도,2018,09,20~29세,81462
서울특별시,2018,09,30~39세,1555767
부산광역시,2018,09,30~39세,458303
대구광역시,2018,09,30~39세,319824
인천광역시,2018,09,30~39세,434951
광주광역시,2018,09,30~39세,202116
대전광역시,2018,09,30~39세,210881
울산광역시,2018,09,30~39세,167434
세종특별자치시,2018,09,30~39세,57524
경기도,2018,09,30~39세,1944475
강원도,2018,09,30~39세,176311
충청북도,2018,09,30~39세,206107
충청남도,2018,09,30~39세,290074
전라북도,2018,09,30~39세,210102
전라남도,2018,09,30~39세,206205
경상북도,2018,09,30~39세,321692
경상남도,2018,09,30~39세,445516
제주특별자치도,2018,09,30~39세,87864
서울특별시,2018,09,40~49세,1604186
부산광역시,2018,09,40~49세,531188
대구광역시,2018,09,40~49세,407850
인천광역시,2018,09,40~49세,497296
광주광역시,2018,09,40~49세,248333
